600
-1.000000e-05  0.000000e+00
-9.966611e-06  0.000000e+00
-9.933222e-06  0.000000e+00
-9.899833e-06  0.000000e+00
-9.866444e-06  0.000000e+00
-9.833055e-06  0.000000e+00
-9.799666e-06  0.000000e+00
-9.766277e-06  0.000000e+00
-9.732888e-06  0.000000e+00
-9.699499e-06  0.000000e+00
-9.666110e-06  0.000000e+00
-9.632721e-06  0.000000e+00
-9.599332e-06  0.000000e+00
-9.565943e-06  0.000000e+00
-9.532554e-06  0.000000e+00
-9.499165e-06  0.000000e+00
-9.465776e-06  0.000000e+00
-9.432387e-06  0.000000e+00
-9.398998e-06  0.000000e+00
-9.365609e-06  1.329481e-319
-9.332220e-06  7.656962e-313
-9.298831e-06  3.346379e-306
-9.265442e-06  1.114137e-299
-9.232053e-06  2.836839e-293
-9.198664e-06  5.545405e-287
-9.165275e-06  8.353838e-281
-9.131886e-06  9.734796e-275
-9.098497e-06  8.807888e-269
-9.065109e-06  6.210396e-263
-9.031720e-06  3.424919e-257
-8.998331e-06  1.482615e-251
-8.964942e-06  5.055916e-246
-8.931553e-06  1.362994e-240
-8.898164e-06  2.914894e-235
-8.864775e-06  4.962288e-230
-8.831386e-06  6.747609e-225
-8.797997e-06  7.353408e-220
-8.764608e-06  6.443825e-215
-8.731219e-06  4.555587e-210
-8.697830e-06  2.606774e-205
-8.664441e-06  1.211204e-200
-8.631052e-06  4.584243e-196
-8.597663e-06  1.417812e-191
-8.564274e-06  3.594346e-187
-8.530885e-06  7.492120e-183
-8.497496e-06  1.287927e-178
-8.464107e-06  1.831396e-174
-8.430718e-06  2.160553e-170
-8.397329e-06  2.120858e-166
-8.363940e-06  1.737319e-162
-8.330551e-06  1.190998e-158
-8.297162e-06  6.852256e-155
-8.263773e-06  3.317876e-151
-8.230384e-06  1.355779e-147
-8.196995e-06  4.688175e-144
-8.163606e-06  1.375544e-140
-8.130217e-06  3.433649e-137
-8.096828e-06  7.311218e-134
-8.063439e-06  1.331383e-130
-8.030050e-06  2.078784e-127
-7.996661e-06  2.790026e-124
-7.963272e-06  3.226902e-121
-7.929883e-06  3.224145e-118
-7.896494e-06  2.789675e-115
-7.863105e-06  2.095312e-112
-7.829716e-06  1.369407e-109
-7.796327e-06  7.805933e-107
-7.762938e-06  3.889842e-104
-7.729549e-06  1.698431e-101
-7.696160e-06  6.512583e-99
-7.662771e-06  2.197945e-96
-7.629382e-06  6.543264e-94
-7.595993e-06  1.721985e-91
-7.562604e-06  4.014698e-89
-7.529215e-06  8.309672e-87
-7.495826e-06  1.530133e-84
-7.462437e-06  2.511792e-82
-7.429048e-06  3.683244e-80
-7.395659e-06  4.834379e-78
-7.362270e-06  5.690806e-76
-7.328881e-06  6.019743e-74
-7.295492e-06  5.733100e-72
-7.262104e-06  4.925313e-70
-7.228715e-06  3.824060e-68
-7.195326e-06  2.688221e-66
-7.161937e-06  1.714140e-64
-7.128548e-06  9.932292e-63
-7.095159e-06  5.238953e-61
-7.061770e-06  2.519942e-59
-7.028381e-06  1.107225e-57
-6.994992e-06  4.451631e-56
-6.961603e-06  1.640467e-54
-6.928214e-06  5.550063e-53
-6.894825e-06  1.726704e-51
-6.861436e-06  4.947934e-50
-6.828047e-06  1.307985e-48
-6.794658e-06  3.194711e-47
-6.761269e-06  7.220661e-46
-6.727880e-06  1.512503e-44
-6.694491e-06  2.940608e-43
-6.661102e-06  5.314193e-42
-6.627713e-06  8.939752e-41
-6.594324e-06  1.401912e-39
-6.560935e-06  2.052262e-38
-6.527546e-06  2.808422e-37
-6.494157e-06  3.597502e-36
-6.460768e-06  4.319479e-35
-6.427379e-06  4.867734e-34
-6.393990e-06  5.155281e-33
-6.360601e-06  5.137643e-32
-6.327212e-06  4.824018e-31
-6.293823e-06  4.272934e-30
-6.260434e-06  3.574755e-29
-6.227045e-06  2.828076e-28
-6.193656e-06  2.118236e-27
-6.160267e-06  1.503840e-26
-6.126878e-06  1.013142e-25
-6.093489e-06  6.484404e-25
-6.060100e-06  3.947135e-24
-6.026711e-06  2.287599e-23
-5.993322e-06  1.263658e-22
-5.959933e-06  6.660230e-22
